model,dataset,prompt,run,problem_attempt,successful_problem
dsp,val12,baseline,2,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,baseline,2,1,mathd_algebra_109
dsp,val12,baseline,2,2,amc12b_2003_9
dsp,val12,baseline,2,3,amc12a_2021_7
dsp,val12,baseline,2,45,numbertheory_sqmod4in01d
dsp,val12,baseline,3,1,numbertheory_sqmod4in01d
dsp,val12,baseline,3,2,amc12a_2021_7
dsp,val12,baseline,3,2,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,baseline,3,4,mathd_algebra_109
dsp,val12,baseline,3,9,amc12a_2013_8
dsp,val12,baseline,3,24,amc12b_2003_9
dsp,val12,baseline,4,1,mathd_algebra_109
dsp,val12,baseline,4,1,amc12a_2013_8
dsp,val12,baseline,4,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,baseline,4,1,numbertheory_sqmod4in01d
dsp,val12,baseline,4,3,amc12a_2021_7
dsp,val12,baseline,4,5,amc12b_2003_9
dsp,val12,baseline,5,1,amc12b_2003_9
dsp,val12,baseline,5,1,amc12a_2013_8
dsp,val12,baseline,5,1,numbertheory_sqmod4in01d
dsp,val12,baseline,5,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,baseline,5,4,mathd_algebra_109
dsp,val12,baseline,5,9,amc12a_2021_7
dsp,test12,paraphrase,1,2,numbertheory_sqmod3in01d
dsp,test12,paraphrase,1,2,mathd_algebra_329
dsp,test12,paraphrase,1,6,amc12a_2021_3
dsp,test12,paraphrase,2,1,amc12a_2021_3
dsp,test12,paraphrase,2,2,mathd_algebra_329
dsp,test12,paraphrase,2,23,mathd_numbertheory_85
dsp,test12,paraphrase,3,3,amc12a_2021_3
dsp,test12,paraphrase,3,3,mathd_algebra_329
dsp,test12,paraphrase,4,2,mathd_algebra_329
dsp,test12,paraphrase,4,7,amc12a_2021_3
dsp,test12,paraphrase,5,5,amc12a_2021_3
dsp,test12,paraphrase,5,7,mathd_algebra_329
dsp,test12,baseline,1,3,amc12a_2021_3
dsp,test12,baseline,1,3,mathd_algebra_329
dsp,test12,baseline,2,1,mathd_algebra_329
dsp,test12,baseline,2,5,amc12a_2021_3
dsp,test12,baseline,3,1,mathd_algebra_329
dsp,test12,baseline,3,13,amc12a_2021_3
dsp,test12,baseline,4,1,mathd_algebra_329
dsp,test12,baseline,4,3,amc12a_2021_3
dsp,test12,baseline,5,1,mathd_algebra_329
dsp,test12,baseline,5,5,amc12a_2021_3
lp,val12,paraphrase,1,3,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,paraphrase,1,3,amc12a_2013_p8
lp,val12,paraphrase,1,11,amc12b_2003_p9
lp,val12,paraphrase,1,13,mathd_algebra_109
lp,val12,paraphrase,2,1,mathd_algebra_109
lp,val12,paraphrase,2,2,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,paraphrase,2,2,amc12a_2013_p8
lp,val12,paraphrase,2,5,numbertheory_sqmod4in01d
lp,val12,paraphrase,2,6,amc12b_2003_p9
lp,val12,paraphrase,3,1,mathd_algebra_109
lp,val12,paraphrase,3,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,paraphrase,3,6,amc12a_2013_p8
lp,val12,paraphrase,3,8,amc12b_2003_p9
lp,val12,paraphrase,3,13,numbertheory_sqmod4in01d
lp,val12,paraphrase,4,1,amc12a_2013_p8
lp,val12,paraphrase,4,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,paraphrase,4,2,amc12b_2003_p9
lp,val12,paraphrase,4,5,numbertheory_sqmod4in01d
lp,val12,paraphrase,4,9,mathd_algebra_109
lp,val12,paraphrase,5,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,paraphrase,5,2,mathd_algebra_109
lp,val12,paraphrase,5,3,amc12a_2013_p8
lp,val12,paraphrase,5,12,amc12b_2003_p9
lp,val12,baseline,1,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,baseline,1,3,mathd_algebra_109
lp,val12,baseline,1,10,amc12a_2013_p8
lp,val12,baseline,1,20,amc12b_2003_p9
lp,val12,baseline,2,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,baseline,2,2,mathd_algebra_109
lp,val12,baseline,2,2,amc12b_2003_p9
lp,val12,baseline,2,5,amc12a_2013_p8
lp,val12,baseline,2,29,numbertheory_sqmod4in01d
lp,val12,baseline,3,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,baseline,3,1,mathd_algebra_109
lp,val12,baseline,3,5,amc12b_2003_p9
lp,val12,baseline,3,15,amc12a_2013_p8
lp,val12,baseline,3,36,numbertheory_sqmod4in01d
lp,val12,baseline,4,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,baseline,4,1,mathd_algebra_109
lp,val12,baseline,4,9,amc12a_2013_p8
lp,val12,baseline,4,12,amc12b_2003_p9
lp,val12,baseline,5,2,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
lp,val12,baseline,5,2,mathd_algebra_109
lp,val12,baseline,5,4,amc12b_2003_p9
lp,val12,baseline,5,5,amc12a_2013_p8
lp,val12,baseline,5,26,numbertheory_sqmod4in01d
lp,test12,paraphrase,1,5,mathd_algebra_329
lp,test12,paraphrase,2,3,mathd_algebra_329
lp,test12,paraphrase,2,18,amc12a_2021_p3
lp,test12,paraphrase,3,2,mathd_algebra_329
lp,test12,paraphrase,3,46,amc12a_2021_p3
lp,test12,paraphrase,4,1,mathd_algebra_329
lp,test12,paraphrase,4,22,mathd_algebra_184
lp,test12,paraphrase,5,1,mathd_algebra_329
lp,test12,paraphrase,5,28,mathd_algebra_184
lp,test12,paraphrase,5,30,amc12a_2021_p3
lp,test12,baseline,1,15,mathd_algebra_329
lp,test12,baseline,1,29,mathd_algebra_184
lp,test12,baseline,1,43,amc12a_2021_p3
lp,test12,baseline,2,1,mathd_algebra_329
lp,test12,baseline,2,21,amc12a_2021_p3
lp,test12,baseline,3,1,mathd_algebra_329
lp,test12,baseline,3,20,mathd_algebra_184
lp,test12,baseline,4,1,mathd_algebra_329
lp,test12,baseline,4,2,amc12a_2021_p3
lp,test12,baseline,5,4,mathd_algebra_329
lp,test12,baseline,5,17,mathd_algebra_184
